title,rating,ratingLevel,release year,user rating score,user rating size,sceneDesc,kids_audience_fit,youth_audience_fit,adult_audience_fit,genre,country,imdbRating,imdbVotes,rating_num,type_cat,audience_segment_cat,type_movie,type_tv,type_unknown,audience_segment_Adults,audience_segment_Family,audience_segment_Kids,audience_segment_Teens
White Chicks,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2004,82.0,80,"crude and sexual humor, language and some drug content",0.2,1.0,0.6,"Comedy, Crime",United States,5.9,"190,250",4.1,movie,Teens,True,False,False,False,False,False,True
Lucky Number Slevin,R,Restricted. May be inappropriate for children 17 and under.,2006,,82,"strong violence, sexual content and adult language",0.0,0.4,1.0,"Crime, Drama, Thriller","United Kingdom, Germany, Canada, United States",7.7,"337,898",5.1,movie,Adults,True,False,False,True,False,False,False
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,98.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2008,98.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,94.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,95.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2013,97.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2017,91.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,98.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,96.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,2016,98.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
